Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
96,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,110.3000,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3400,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,11.2100,0.0000,43.9400,0.0000,0.0000,2.3600,58.6700,6.7000,0.0000,0.0000,0.0000,26.7500,20.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,6.3200,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6100,0.0000,0.0000,6.1500,0.0000,0.0000,0.0000,0.0000,29.5000,9.8400,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,28.3300,28.3300,2.7100,0.0000,0.0000,3.9900,27.1000,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,110.3000,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3400,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,11.2100,0.0000,43.9400,0.0000,0.0000,2.3600,58.6700,6.7000,0.0000,0.0000,0.0000,26.7500,20.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,6.3200,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6100,0.0000,0.0000,6.1500,0.0000,0.0000,0.0000,0.0000,27.5000,9.1600,9.1700,0.0000,0.0000,0.0000,0.0000,0.0000,10.3400,28.3300,28.3300,2.7100,0.0000,0.0000,3.9900,27.1000,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,110.3000,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3400,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,11.2100,0.0000,43.9400,0.0000,0.0000,2.3600,58.6700,6.7000,0.0000,0.0000,0.0000,28.3500,20.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,6.3200,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6100,0.0000,0.0000,6.1500,0.0000,0.0000,0.0000,0.0000,29.0000,9.6600,9.6700,0.0000,0.0000,0.0000,0.0000,0.0000,9.6600,28.3300,28.3300,2.7100,1.4000,0.0000,3.9900,27.1000,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,110.3000,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3400,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.3600,58.6700,6.7000,0.0000,0.0000,0.0000,28.3500,20.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,6.3200,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0100,0.0000,0.0000,6.1500,0.0000,0.0000,0.0000,0.0000,30.5000,10.1600,10.1700,0.0000,0.0000,0.0000,0.0000,0.0000,10.3400,28.3300,28.3300,2.7100,2.7900,0.0000,3.9900,27.1000,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3300,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,6.7000,0.0000,0.0000,0.0000,28.3500,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,14.9800,37.1700,12.0500,18.9700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6100,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,32.0000,10.6600,10.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,28.3300,28.3300,2.7100,4.1900,0.0000,0.0000,27.1000,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,127.5400,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,6.7000,0.0000,0.0000,0.0000,28.3500,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,14.9800,37.1700,12.0500,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.2100,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,33.5000,11.1600,11.1700,0.0000,0.0000,0.0000,0.0000,0.0000,11.3400,30.3300,30.3300,2.7100,4.1900,0.0000,0.0000,27.1000,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,126.0900,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,11.6800,0.0000,0.0000,0.0000,48.7900,21.4700,40.8500,44.2300,32.7100,40.1400,53.3800,14.9800,37.1700,10.0400,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2100,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,32.6700,32.6700,2.7100,4.1900,0.0000,0.0000,27.1000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,110.1500,100.9700,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,124.1300,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,11.6800,0.0000,0.0000,0.0000,48.7900,21.4700,40.8500,44.2300,32.7100,40.1400,53.3800,14.9800,37.1700,11.3000,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2100,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,36.0000,12.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3400,34.6700,34.6700,2.7100,4.1900,0.0000,0.0000,27.1000,26.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,117.0100,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,11.6800,0.0000,0.0000,0.0000,26.7500,25.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,2.1400,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.2100,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,37.5000,12.5000,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,36.6700,36.6700,2.7100,2.8200,0.0000,0.0000,27.1000,25.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,117.0100,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,11.6800,0.0000,0.0000,0.0000,26.7500,25.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,1.0700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2100,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,38.5000,12.8400,12.8300,0.0000,0.0000,0.0000,0.0000,0.0000,16.3400,38.3300,38.3300,2.7100,2.8200,0.0000,0.0000,27.1000,25.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.9999,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,117.0100,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,11.6800,0.0000,0.0000,0.0000,26.7500,25.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,1.0700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4100,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,39.0000,13.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,40.0000,40.0000,2.7100,2.8200,0.0000,0.0000,27.1000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.9999,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,117.0100,9.9700,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,14.0700,0.0000,0.0000,0.0000,21.4000,25.0500,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,1.0700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0100,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,39.5000,13.1600,13.1700,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,41.3300,41.3300,2.7100,2.8200,0.0000,0.0000,27.1000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.9999,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,13.9300,0.0000,0.0000,0.0000,20.3200,25.7800,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,37.1700,9.1900,1.0700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6100,0.0000,0.0000,6.8000,0.0000,0.0000,0.0000,0.0000,40.0000,13.3400,13.3300,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,42.0000,42.0000,2.7100,2.8200,0.0000,0.0000,26.9000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,132.3600,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,43.9400,0.0000,0.0000,2.8500,58.6700,13.7700,0.0000,0.0000,0.0000,20.3200,25.7800,40.8500,42.8600,31.0900,39.1600,52.1300,14.9800,49.5600,9.1900,1.0700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0100,0.0000,0.0000,6.8000,0.0000,0.0000,0.0000,0.0000,39.5000,13.1600,13.1700,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,43.6700,43.6700,2.7100,2.8200,0.0000,0.0000,26.9000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,11.1800,0.0000,0.0000,0.0000,48.7900,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,14.9800,76.9400,10.0400,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2100,0.0000,0.0000,7.1700,0.0000,0.0000,0.0000,0.0000,52.0000,17.3400,17.3300,0.0000,0.0000,0.0000,0.0000,0.0000,16.3400,43.0000,43.0000,2.7100,4.1900,0.0000,0.0000,26.9000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,11.1800,0.0000,0.0000,0.0000,48.7900,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,3.4100,76.9400,10.0400,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8100,0.0000,0.0000,7.1700,0.0000,0.0000,0.0000,0.0000,51.5000,17.1600,17.1700,0.0000,0.0000,0.0000,0.0000,0.0000,15.6600,43.0000,43.0000,2.7100,4.1900,0.0000,0.0000,26.9000,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,33.0001,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,11.1800,0.0000,0.0000,0.0000,28.3500,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,6.8100,76.9400,10.0400,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4100,0.0000,0.0000,7.4500,0.0000,0.0000,0.0000,0.0000,51.0000,17.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3400,42.6700,42.6700,2.7100,4.1900,0.0000,0.0000,26.9000,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,33.0001,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,10.9200,0.0000,0.0000,0.0000,19.2600,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,76.9400,10.0500,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0100,0.0000,0.0000,7.4500,0.0000,0.0000,0.0000,0.0000,48.5000,16.1600,16.1700,0.0000,0.0000,0.0000,0.0000,0.0000,14.6600,43.0000,43.0000,2.7100,4.1900,0.0000,0.0000,26.9000,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,10.9200,0.0000,0.0000,0.0000,19.2600,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,76.9400,10.0500,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.4100,0.0000,0.0000,7.4500,0.0000,0.0000,0.0000,0.0000,48.0000,16.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6600,43.3300,43.3300,2.7100,4.1900,0.0000,0.0000,26.9000,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,381.5300,148.6300,0.0000,-4.2999,0.0000,0.0000,115.8400,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,36.2700,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,10.9200,0.0000,0.0000,0.0000,48.7900,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,76.9400,10.0500,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0100,0.0000,0.0000,7.4500,0.0000,0.0000,0.0000,0.0000,47.5000,15.8400,15.8300,0.0000,0.0000,2.0000,0.0000,0.0000,18.3400,43.3300,43.3300,2.7100,4.1900,0.0000,0.0000,26.9000,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,380.6600,148.6300,0.0000,-4.2999,0.0000,0.0000,83.5500,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,40.4500,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,13.2000,0.0000,0.0000,0.0000,48.7900,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,49.5600,10.0500,18.9600,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.2100,0.0000,0.0000,6.8000,0.0000,0.0000,0.0000,0.0000,34.5000,11.5000,11.5000,0.1100,0.0200,4.0000,0.0000,0.0000,11.6600,35.3300,35.3300,2.7100,4.1900,0.0000,0.0000,26.9000,27.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2300,0.2300,0.2300
75,80IS2024/09/18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.1700,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,380.6600,148.6300,0.0000,-4.2999,0.0000,0.0000,75.0200,94.7800,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.7400,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,123.0500,9.9600,40.4500,0.0000,40.5900,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,43.9400,0.0000,0.0000,3.1900,58.6700,13.2000,0.0000,0.0000,0.0000,28.3500,25.7800,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,37.1700,12.0500,18.9700,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.4100,0.0000,0.0000,6.8000,0.0000,0.0000,0.0000,0.0000,33.5000,11.1600,11.1700,2.8400,0.5700,6.0000,0.0000,0.0000,11.3400,35.3300,35.3300,2.7100,4.1900,0.0000,0.0000,26.9000,26.7400,0.0000,1.0000,1.0000,1.0000,0.0000,0.6300,0.6200,0.6200
