Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
96,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201.2800,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,57.3500,233.1800,0.0000,0.0000,270.0000,0.0000,0.0000,65.9900,53.8700,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,361.2300,0.0000,0.0000,11.3000,78.8800,113.6300,59.4800,402.8600,120.8300,15.6500,30.5600,19.2800,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,9.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,5.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.1100,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
95,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227.9200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,57.3500,233.1800,0.0000,0.0000,270.0000,0.0000,0.0000,98.0500,53.8700,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.7100,0.0000,0.0000,12.1400,78.8800,113.6300,59.4800,402.8600,120.8300,15.6500,30.5600,19.2800,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,9.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,5.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.1100,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
94,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227.9200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,57.3500,233.1800,0.0000,0.0000,270.0000,0.0000,0.0000,106.5300,53.8700,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,457.4300,0.0000,0.0000,12.1400,78.8800,113.6300,59.4800,402.8600,120.8300,15.6500,36.2000,19.2800,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,9.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,5.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.1100,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
93,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227.9200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,76.2800,240.9400,0.0000,0.0000,270.0000,0.0000,0.0000,115.0200,53.8700,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,534.3900,0.0000,0.0000,12.1400,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,36.2000,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,9.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,5.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.1100,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
92,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,76.2800,311.1000,0.0000,0.0000,270.0000,0.0000,0.0000,115.0200,76.9600,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,579.5100,0.0000,0.0000,12.1400,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,36.2000,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.3600,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
91,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,76.2800,373.3500,0.0000,0.0000,270.0000,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,579.5100,0.0000,0.0000,12.1400,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,36.2000,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.6200,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
90,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,82.0500,400.1500,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.1700,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,40.7900,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,7.9400,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
89,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,79.1600,346.5900,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,579.5100,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,40.7900,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,8.3000,0.0000,0.0000,1.3400,0.9900,0.0000,0.0000,0.0000,20.0000,6.6600,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,14.3300,14.3300,0.0000,0.0000,0.0000,0.0000,18.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.6500
88,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,79.1600,400.1500,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.1700,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,40.7900,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,2.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,8.6600,0.0000,0.0000,1.3400,1.0700,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,16.6700,16.6700,0.0000,0.0000,0.0000,0.0000,18.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
87,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,76.2800,400.1500,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.1700,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,40.7900,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.6800,11.6500,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,2.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,8.8300,0.0000,0.0000,1.3400,1.0700,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,16.6700,16.6700,0.0000,0.0000,0.0000,0.0000,18.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
86,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,400.1500,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,583.1700,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,18.5500,40.7900,22.7900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,27.2700,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,11.6500,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,2.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,8.8800,0.0000,0.0000,1.3400,1.1400,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,21.3300,21.3300,0.0000,0.0000,0.0000,0.0000,18.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
85,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,0.0000,0.0000,269.9999,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,27.2700,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,11.6500,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,2.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,9.0200,0.0000,0.0000,1.3400,1.1400,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,20.6700,20.6700,0.0000,0.0000,0.0000,0.0000,18.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
84,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,0.0000,0.0000,270.0000,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,27.2700,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,10.3600,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.5200,0.0000,0.0000,1.3400,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,16.0000,16.0000,0.0000,0.0000,0.0000,0.0000,21.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
83,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,0.0000,0.0000,270.0000,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,27.2700,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,10.3600,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.6600,0.0000,0.0000,1.3400,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,7.3400,15.6700,15.6700,0.0000,0.0000,0.0000,0.0000,21.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
82,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,0.0000,0.0000,287.4819,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,27.2700,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,9.0600,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,1.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.6900,0.0000,0.0000,1.3400,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,7.6600,15.3300,15.3300,0.0000,0.0000,0.0000,0.0000,21.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
81,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,0.0000,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,41.8200,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,11.1500,9.0600,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,1.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.7500,0.0000,0.0000,1.3400,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,8.3400,15.0000,15.0000,0.0000,0.0000,0.0000,0.0000,21.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
80,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,21.8600,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,41.8200,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,3.1900,9.7100,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,1.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.8200,0.0000,0.0000,1.3900,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,9.3400,15.0000,15.0000,0.0000,0.0000,0.0000,0.0000,21.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
79,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,22.1300,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,41.8200,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,3.1900,9.7100,0.0000,0.0000,0.0000,0.0000,15.8500,0.0000,1.3400,1.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.8600,0.0000,0.0000,1.3900,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,15.0000,15.0000,0.0000,0.0000,0.0000,0.0000,23.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
78,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,44.6500,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,41.8200,8.7300,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,3.1900,9.7100,6.0800,3.2100,0.0000,7.6300,15.8500,0.0000,1.3400,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.6800,0.0000,0.0000,1.3900,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,18.6700,18.6700,0.0000,0.0000,0.0000,0.0000,23.5001,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
77,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,44.6500,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,41.8200,17.0700,0.0000,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,3.1900,9.7100,13.5200,12.6700,0.0000,7.6300,31.7100,0.0000,6.7100,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.7700,7.6500,0.0000,0.0000,1.3900,1.2200,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,19.3300,19.3300,0.0000,0.0000,0.0000,0.0000,24.5000,23.0900,0.0000,0.0000,0.0000,0.0000,1.7400
76,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,67.4100,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,42.5500,37.4900,3.8500,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,4.2500,9.7100,25.0800,25.3400,0.0000,16.5300,31.7100,0.0000,40.2400,0.0000,12.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,8.4000,0.0000,0.0000,1.3900,1.3800,0.0000,0.0000,0.0000,22.0000,7.3400,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,8.3400,26.3300,26.3300,0.0000,0.0000,0.0000,0.0000,24.5000,24.0500,0.0000,0.0000,0.0000,0.0000,1.6500
75,54IS2024/02/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.3200,0.0000,37.0000,270.0000,0.0000,0.0000,0.0000,0.0000,86.7700,418.8900,90.0100,0.0000,307.0883,0.0000,0.0000,115.0200,99.6800,270.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,653.3900,0.0000,0.0000,13.7000,78.8800,113.6300,59.4800,402.8600,120.8300,20.9900,40.7900,25.3900,43.8900,141.6700,0.0000,0.0000,0.0000,0.0000,0.0000,42.5500,37.4900,7.6900,0.0000,42.2300,0.0000,0.0000,0.0000,52.4800,0.0000,0.0000,0.0000,0.0000,35.0400,9.7100,25.0800,25.3400,0.0000,26.3700,31.7100,0.0000,40.2400,0.0000,12.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.8500,8.3900,0.0000,0.0000,1.3900,1.3800,0.0000,0.0000,0.0000,21.5000,7.1600,7.1700,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,26.2800,26.2800,0.0000,0.0000,0.0000,0.0000,24.5000,24.0500,0.0000,0.0000,0.0000,0.0000,1.6500
