timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,4.8714,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.4830,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.5800,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.8000,0.0000,0.0000,100.0000
12,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.4830,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.5800,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.8000,0.0000,0.0000,100.0000
13,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.4830,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,22.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
14,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,22.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
15,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,20.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
16,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.1200,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,20.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
17,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3625,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,5.9392,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.0400,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,20.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
18,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,2.9696,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.0400,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,20.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
19,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,2.9696,0.0000,10.1110,0.0000,0.0000,0.0399,6.0010,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.0400,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,22.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
20,68EnNDPL2024/04/29,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,14.3515,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,253.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.1140,28.2250,36.4309,0.0000,127.0152,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,7.5687,20.3241,18.8351,0.0000,2.4357,2.4193,4.8504,0.0000,12.7120,0.0000,0.0000,0.0000,15.7669,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,8.6211,8.0825,2.9696,0.0000,10.1110,0.0000,0.0000,0.0399,4.0007,0.0000,0.0000,0.0000,215.3448,0.0000,0.6889,4.0400,0.0000,0.0000,200.0000,3.4900,4.0800,0.0000,0.0000,0.0000,0.0000,0.0000,22.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0069,0.0000,0.0000,0.0000,0.0000,200.0000,10.7100,0.0000,0.0000,100.0000
