Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
00:00-00:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,73.00,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,4.41,37.73,28.10,0.00,0.00,42.46,38.32,38.66,0.00,13.11,0.00,2.56,0.00,0.00,0.00,0.00,0.00,200.00,31.52,0.00,200.00,20.00,100.00,0.00,0.00,0.00,28.01,9.33,9.33,300.00,300.00,100.00,200.00,0.00,12.67,35.00,35.00,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
00:15-00:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,4.41,37.73,28.10,0.00,0.00,42.46,38.32,38.66,0.00,13.11,0.00,1.59,0.00,0.00,0.00,0.00,0.00,200.00,36.42,0.00,200.00,20.00,100.00,0.00,0.00,0.00,29.51,9.83,9.83,300.00,300.00,100.00,200.00,0.00,13.00,35.34,35.33,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
00:30-00:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.09,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,6.63,37.73,28.10,0.00,0.00,42.46,38.32,38.66,0.00,13.11,0.00,1.26,0.00,0.00,0.00,0.00,0.00,200.00,30.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,31.99,10.67,10.67,300.00,300.00,100.00,200.00,0.00,13.33,35.66,35.67,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
00:45-01:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.09,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,6.63,37.73,28.10,0.00,0.00,42.46,38.32,38.66,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,30.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,34.01,11.33,11.33,300.00,300.00,100.00,200.00,0.00,13.33,36.00,36.00,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
01:00-01:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.34,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,26.49,37.73,28.10,0.00,0.00,42.46,0.00,38.66,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,24.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,36.00,12.00,12.00,300.00,300.00,100.00,200.00,0.00,13.33,36.34,36.33,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
01:15-01:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.34,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.80,0.00,0.00,0.00,26.49,37.73,28.10,0.00,0.00,42.46,0.00,38.66,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,25.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,37.01,12.33,12.33,300.00,300.00,100.00,200.00,0.00,13.00,36.66,36.67,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
01:30-01:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.34,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.51,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,25.41,0.00,200.00,20.00,100.00,0.00,0.00,0.00,38.51,12.83,12.83,300.00,300.00,100.00,200.00,0.00,12.67,37.00,37.00,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
01:45-02:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.38,98.87,0.00,52.34,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,23.51,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,26.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,40.01,13.33,13.33,300.00,300.00,100.00,200.00,0.00,12.33,37.34,37.33,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
02:00-02:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,18.33,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,32.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,42.00,14.00,14.00,300.00,300.00,100.00,200.00,0.00,12.00,37.66,37.67,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
02:15-02:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,18.33,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,32.41,0.00,200.00,20.00,100.00,0.00,0.00,0.00,43.99,14.67,14.67,300.00,300.00,100.00,200.00,0.00,11.33,41.00,41.00,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
02:30-02:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,19.21,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,38.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,40.52,13.50,13.50,300.00,300.00,100.00,200.00,0.00,11.00,41.00,41.00,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
02:45-03:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,262.76,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,19.21,0.00,0.00,0.00,3.31,37.73,28.10,0.00,0.00,42.46,0.00,37.92,0.00,13.11,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,38.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,38.98,13.00,13.00,300.00,300.00,100.00,200.00,0.00,11.00,40.00,40.00,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
03:00-03:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,248.26,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,19.21,0.00,0.00,0.00,26.49,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,38.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,10.67,31.01,31.02,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
03:15-03:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,228.75,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,19.21,0.00,0.00,0.00,26.49,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,37.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,10.33,29.51,29.51,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
03:30-03:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,212.49,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.63,0.00,0.00,0.00,3.31,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,36.62,0.00,200.00,20.00,100.00,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,10.33,27.96,27.97,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
03:45-04:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,198.23,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.63,0.00,0.00,0.00,3.31,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,36.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,10.33,26.36,26.35,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.33,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
04:00-04:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.63,0.00,0.00,0.00,4.97,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,38.62,0.00,200.00,20.00,100.00,0.00,0.00,0.00,27.49,9.17,9.17,300.00,300.00,100.00,200.00,0.00,10.00,24.76,24.75,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
04:15-04:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.63,0.00,0.00,0.00,4.97,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,38.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,26.11,8.70,8.70,300.00,300.00,100.00,200.00,0.00,9.67,23.86,23.87,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
04:30-04:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.48,0.00,0.00,0.00,4.97,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,37.62,0.00,200.00,20.00,100.00,0.00,0.00,0.00,24.30,8.10,8.10,300.00,300.00,100.00,200.00,0.00,9.33,32.34,32.33,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
04:45-05:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,47.03,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.85,81.18,105.40,8.63,82.36,45.08,0.00,0.00,24.36,0.00,0.00,5.68,65.76,18.33,0.00,0.00,0.00,4.97,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,37.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,22.39,7.47,7.47,300.00,300.00,100.00,200.00,0.00,9.33,30.51,30.52,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,18.05,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
05:00-05:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,18.04,0.00,0.00,0.00,6.63,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,32.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,30.93,10.32,10.32,300.00,300.00,100.00,200.00,0.00,9.00,28.78,28.77,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
05:15-05:30,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,230.90,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,17.74,0.00,0.00,0.00,26.49,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,2.97,0.00,0.00,0.00,0.00,0.00,200.00,32.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,28.69,9.56,9.56,300.00,300.00,100.00,200.00,0.00,8.67,27.15,27.15,5.73,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
05:30-05:45,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,17.45,0.00,0.00,0.00,26.49,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,1.27,0.00,0.00,0.00,0.00,0.00,200.00,28.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,26.45,8.82,8.82,300.00,300.00,100.00,200.00,0.00,8.33,25.49,25.48,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
05:45-06:00,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,393.75,113.75,21.65,44.52,27.38,33.99,98.87,0.00,52.60,81.18,105.40,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,17.16,0.00,0.00,0.00,6.63,33.52,28.10,0.00,0.00,42.46,0.00,37.92,0.00,11.91,0.00,1.27,0.00,0.00,0.00,0.00,0.00,200.00,27.61,0.00,200.00,20.00,100.00,0.00,0.00,0.00,25.15,8.39,8.39,0.30,0.06,100.00,200.00,0.00,8.00,24.79,24.80,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,200.00,17.77,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
06:00-06:15,58DC2025/08/28,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,175.80,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,687.87,0.00,0.00,20.80,48.09,125.27,130.84,410.62,113.75,21.21,43.16,26.71,33.99,98.87,0.00,52.60,81.18,103.43,8.63,82.36,45.08,18.34,0.00,24.36,0.00,0.00,5.68,65.76,16.86,0.00,0.00,0.00,3.31,33.52,14.05,0.00,0.00,42.46,0.00,37.92,0.00,9.86,0.00,1.27,0.00,0.00,0.00,0.00,0.00,200.00,24.01,0.00,0.04,20.00,100.00,0.00,0.00,0.00,24.02,8.00,8.00,1.79,0.36,1.00,1.00,0.00,8.00,34.66,34.67,3.13,4.65,0.00,13.15,25.30,100.00,300.00,300.00,200.00,1.00,17.50,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.94,207.96,416.00
